userid,campaignid,timestamp,mediatype,adtype,city,state,age,campaign_area,campaign_category,activity
c08376c1-ccea-4599-9a3e-25b5bef98be9,5d72a3e5-9404-498b-81b8-15117352686c,1493640000,txt,banner,Jefferson City,WY,22,WY,tech,impression
dc3bdc2a-fded-4b68-ae19-dc085badcd70,ca660a13-87e5-49c1-b2f4-6a408d11d615,1493640000,swf,embedded,Raleigh,SC,56,SC,retail,impression
f42b5a30-567d-4f87-bff2-0c2580bc73b6,5f51768a-f276-4c65-8e98-94d035ceedb8,1493640000,txt,embedded,Madison,CA,38,CA,car,clicked
64891445-664b-4238-9875-09af91a4695a,ebb281c2-9d97-456f-8628-02381fc730ca,1493640000,swf,banner,Jackson,MD,36,MD,gas,impression
22aab48b-e95f-42ee-879c-878dec1bd0d1,c1cacfec-f8bd-4da4-baf3-3a33169e5b3c,1493640000,swf,popup,Denver,MS,56,MS,retail,impression
90e8cc83-7572-4c43-8546-3c1b437fc3bb,cabb9c5b-7a81-48be-9121-9e66d94bb25d,1493640000,swf,popup,Concord,MD,48,MD,car,impression
633148d1-89aa-47e9-8e5a-90378fb94e93,2e710755-5b2b-4212-8d1b-be4a2e5c34d2,1493640000,swf,embedded,Honolulu,OH,36,OH,retail,clicked
a4a8e2c5-ba03-403f-af0d-8e76ecd4531b,30720a6a-8bae-40e7-829f-9cd85541eb0e,1493640000,txt,popup,Charleston,ND,53,ND,food,impression
552d82a1-572e-4e99-afd7-576ebd635b09,ea539aed-a3a0-4172-9c83-94af337480b4,1493640000,swf,popup,Trenton,OH,38,OH,food,clicked
0a5dca4a-532f-45e2-9776-c1dbbf7f76d9,2a867159-c2e6-4d94-a654-3b94e5274102,1493640000,swf,popup,Montgomery,WA,32,WA,retail,hover
90e8cc83-7572-4c43-8546-3c1b437fc3bb,7408682a-d248-4f42-96b0-05fc217988f0,1493640000,img,popup,Salt Lake City,HI,48,HI,gas,hover
04079e42-d59e-4129-afdc-8a252fa8913a,945f7cda-b71e-43ac-9c99-f0bebe4d6802,1493640000,txt,popup,Carson City,MA,28,MA,gas,hover
7d5d8b5b-2500-4c7d-a58f-7a49d1f51f93,c600e6c5-de48-494a-aa8b-0abc49d15e00,1493640000,txt,banner,Salem,MA,28,MA,retail,hover
9e45fafd-c21e-4b31-bb33-9bfdc43af24a,c1cacfec-f8bd-4da4-baf3-3a33169e5b3c,1493640000,swf,popup,Topeka,MO,39,MO,retail,impression
aa31ca51-bcd4-48d1-bd2b-e320774611e5,2e710755-5b2b-4212-8d1b-be4a2e5c34d2,1493640000,txt,popup,Trenton,HI,27,HI,retail,hover
712015e4-cdbc-4e36-80d6-b0a357654f94,9ea67dda-6876-4c09-9de3-9f932100a489,1493640000,txt,embedded,Pierre,NC,36,NC,misc,clicked
8b827b53-96cb-4617-8106-165d117661a9,ea539aed-a3a0-4172-9c83-94af337480b4,1493640000,txt,popup,Montpelier,MA,22,MA,food,hover
07797b1c-50ae-436a-862d-44af9169b2c3,0eb07884-ae95-4c8b-bf0f-b0328209bef5,1493640000,txt,popup,Montpelier,GA,37,GA,tech,clicked
af801214-790e-43c5-be58-523639fe3187,382f45b8-e3d1-48b7-af63-0a29c41b57d6,1493640000,txt,popup,Augusta,AL,29,AL,car,hover
af801214-790e-43c5-be58-523639fe3187,26b0ddbc-d6e1-482a-a0df-6feacd0339e8,1493640000,swf,banner,Charleston,MS,29,MS,coffee,impression
b91dc1e4-2a12-4007-880c-de482a2d710a,ebb281c2-9d97-456f-8628-02381fc730ca,1493640000,txt,popup,Pierre,CA,38,CA,gas,clicked
2161bf2c-803e-4441-8859-9313da007918,25f0ad51-6040-41f5-a87e-6849a40127af,1493640000,txt,popup,Richmond,ID,30,ID,car,impression
7f08ab83-0341-412d-aa9a-d653968088de,945f7cda-b71e-43ac-9c99-f0bebe4d6802,1493640000,txt,popup,Trenton,MA,24,MA,gas,hover
ea5f1256-3833-4845-956f-003baae0d73f,608e679a-e55b-4a72-bebd-7cf994ea7cb0,1493640000,txt,popup,Trenton,CA,24,CA,tech,clicked
d5fe9e61-5ae0-458d-afff-93e347ba6401,06c40fd8-cb9c-43ec-8d3b-6bf5cbf44722,1493640000,swf,banner,Little Rock,MT,27,MT,gas,impression
6a038fc8-9744-4c87-9a48-38a64e280861,ca660a13-87e5-49c1-b2f4-6a408d11d615,1493640000,swf,banner,Oklahoma City,UT,47,UT,retail,impression
a4a8e2c5-ba03-403f-af0d-8e76ecd4531b,3f86c46b-8c0e-41cc-9008-e031e5ac5ce8,1493640000,swf,popup,Montpelier,NM,53,NM,tech,impression
dd8b9764-0daa-42c5-8020-4b22b57d18b0,91361d93-3903-47de-9f18-e1d79f1c9bb4,1493640000,swf,popup,Montpelier,MI,32,MI,tech,hover
af00f940-d7ff-4fc1-9dc2-15f1fd6f5acb,5f51768a-f276-4c65-8e98-94d035ceedb8,1493640000,img,popup,Denver,ME,25,ME,car,impression
85a2e5f1-d6a5-4fb6-9a3a-59c0eafc0862,c1d8a759-829d-4152-922c-27019868ec07,1493640000,swf,banner,Richmond,LA,24,LA,coffee,hover
ae13cd7e-242a-46e9-b923-be2537417e2d,25f0ad51-6040-41f5-a87e-6849a40127af,1493640000,swf,popup,Augusta,MA,31,MA,car,hover
05cd7246-1241-4c29-9f80-0bd6511f1f2e,945f7cda-b71e-43ac-9c99-f0bebe4d6802,1493640000,txt,popup,Little Rock,IA,52,IA,gas,impression
fef09c97-ca75-4d68-9fe2-2a5e692ec576,d89e7da3-fec1-450a-a050-6613204c143b,1493640000,txt,banner,Hartford,KS,24,KS,food,hover
779c5be0-9e0e-419a-811e-56ef1b3a31ee,0eb07884-ae95-4c8b-bf0f-b0328209bef5,1493640000,swf,popup,Pierre,IL,42,IL,tech,impression
dd8b9764-0daa-42c5-8020-4b22b57d18b0,9ea67dda-6876-4c09-9de3-9f932100a489,1493640000,txt,banner,Tallahassee,OK,32,OK,misc,impression
2627a278-8600-4170-98cc-7d9020bd1006,2e710755-5b2b-4212-8d1b-be4a2e5c34d2,1493640000,txt,banner,Topeka,RI,54,RI,retail,impression
07caa1b7-6bdb-4f97-9c8e-6294286d6c99,6be049b2-25ef-46f3-863c-1886601208b6,1493640000,swf,popup,Saint Paul,NY,43,NY,gas,impression
960c14f7-f876-4abd-98c9-856e069f8903,5d72a3e5-9404-498b-81b8-15117352686c,1493640000,swf,popup,Carson City,PA,61,PA,tech,impression
7f08ab83-0341-412d-aa9a-d653968088de,3f86c46b-8c0e-41cc-9008-e031e5ac5ce8,1493640000,swf,embedded,Jefferson City,WI,24,WI,tech,impression
96680250-063a-44a7-a779-e92bf6969535,06c40fd8-cb9c-43ec-8d3b-6bf5cbf44722,1493640000,img,popup,Carson City,CA,40,CA,gas,clicked
e30eff11-ef60-4b41-8c50-9e336af6d9fa,49a3eb93-35d8-40e7-b5e1-db54d868959d,1493640000,txt,popup,Boston,NE,57,NE,retail,impression
2b745e05-9336-493e-8c20-e3182caa42a4,18c7fbe2-4e78-4ce6-9a8f-ddec282cebc2,1493640000,txt,banner,Salt Lake City,SC,40,SC,tech,impression
82783670-2d72-4734-85bf-5e823cef8d6f,18c7fbe2-4e78-4ce6-9a8f-ddec282cebc2,1493640000,txt,banner,Lansing,NY,32,NY,tech,impression
0a2ce236-c741-446d-b7ac-68bb17821c05,c1cacfec-f8bd-4da4-baf3-3a33169e5b3c,1493640000,txt,embedded,Des Moines,TX,40,TX,retail,clicked
e32ab438-f4c1-4386-9340-f99279e0dbc0,2e0f04fc-ceaa-4955-9533-9fd99ec1d6dc,1493640000,swf,popup,Columbia,VT,35,VT,misc,impression
2627a278-8600-4170-98cc-7d9020bd1006,c7baf205-f866-48e6-a1d5-1bae17be8c1c,1493640000,img,popup,Topeka,TX,54,TX,food,clicked
2cd83027-a45a-493b-adfb-ecdcfad70ce2,9ea67dda-6876-4c09-9de3-9f932100a489,1493640000,txt,banner,Raleigh,WV,49,WV,misc,impression
12a6de62-dcf3-4d67-97e2-eaa882d7d84d,18c7fbe2-4e78-4ce6-9a8f-ddec282cebc2,1493640000,swf,embedded,Pierre,CO,43,CO,tech,impression
192d526f-2fae-455a-9f49-03b805a6f308,06c40fd8-cb9c-43ec-8d3b-6bf5cbf44722,1493640000,img,popup,Salt Lake City,MT,31,MT,gas,impression
e32ab438-f4c1-4386-9340-f99279e0dbc0,945f7cda-b71e-43ac-9c99-f0bebe4d6802,1493640000,txt,banner,Montpelier,NE,35,NE,gas,impression
779c5be0-9e0e-419a-811e-56ef1b3a31ee,91361d93-3903-47de-9f18-e1d79f1c9bb4,1493640000,txt,embedded,Indianapolis,AR,42,AR,tech,impression
2591ccc3-d783-49a8-abd0-e9d54625fe24,5f51768a-f276-4c65-8e98-94d035ceedb8,1493640000,img,embedded,Montpelier,NC,28,NC,car,clicked
f42b5a30-567d-4f87-bff2-0c2580bc73b6,945f7cda-b71e-43ac-9c99-f0bebe4d6802,1493640000,txt,banner,Annapolis,IA,38,IA,gas,impression
8d25f49b-9fbb-4148-aece-6766a4d73c68,c6afb280-53ef-4c70-bdc6-6842177671f2,1493640000,swf,popup,Hartford,WI,56,WI,food,impression
af801214-790e-43c5-be58-523639fe3187,6ddc33e8-dd7b-4d24-9e62-55c505c5c7a5,1493640000,txt,popup,Santa Fe,HI,29,HI,coffee,hover
a75f0cf6-773c-40f0-96c9-5b612bd5a7bb,7e9542ae-e7d4-45f9-8803-0789c9d8e177,1493640000,txt,banner,Carson City,MT,55,MT,retail,impression
bb2d4d12-5a81-4c87-bf69-285bb2887716,06c40fd8-cb9c-43ec-8d3b-6bf5cbf44722,1493640000,txt,popup,Lansing,NJ,21,NJ,gas,hover
f9447859-bee7-4b57-9c0c-65fc369d48dc,c2f1a1e9-d5b0-4a74-a85a-84611d929f03,1493640000,swf,popup,Richmond,RI,58,RI,food,impression
07427d7c-7194-4b7b-8c53-a29cac9b928a,608e679a-e55b-4a72-bebd-7cf994ea7cb0,1493640000,swf,embedded,Harrisburg,MN,58,MN,tech,impression
0a5dca4a-532f-45e2-9776-c1dbbf7f76d9,d89e7da3-fec1-450a-a050-6613204c143b,1493640000,txt,popup,Atlanta,AZ,32,AZ,food,clicked
2a1d0ba3-6594-407d-8a22-89cdd7bc0f2f,ca660a13-87e5-49c1-b2f4-6a408d11d615,1493640000,txt,popup,Hartford,NY,34,NY,retail,impression
e32ab438-f4c1-4386-9340-f99279e0dbc0,ea539aed-a3a0-4172-9c83-94af337480b4,1493640000,swf,popup,Richmond,MI,35,MI,food,hover
1984ff7e-2f50-45fb-959c-8da4f1e84a71,b32618f1-e5dc-4f32-8e1c-afcb2fd4966b,1493640000,txt,popup,Salt Lake City,HI,30,HI,misc,hover
96680250-063a-44a7-a779-e92bf6969535,ca660a13-87e5-49c1-b2f4-6a408d11d615,1493640000,txt,popup,Denver,MI,40,MI,retail,hover
363642f1-5726-49e4-aca8-77a594537fe4,26b0ddbc-d6e1-482a-a0df-6feacd0339e8,1493640000,img,popup,Raleigh,CT,54,CT,coffee,impression
712015e4-cdbc-4e36-80d6-b0a357654f94,2a867159-c2e6-4d94-a654-3b94e5274102,1493640000,txt,popup,Honolulu,NH,36,NH,retail,impression
2d6c9316-a852-46e8-b0c8-fad552d1ed31,b9eb512c-101c-42d4-8904-50a0ff4d798b,1493640000,img,banner,Raleigh,RI,58,RI,car,impression
ab14bc84-89d9-42f6-804b-b8c2416afc49,ca660a13-87e5-49c1-b2f4-6a408d11d615,1493640000,txt,popup,Montpelier,WY,56,WY,retail,impression
c534750a-1e2d-4f37-9630-252857d64e74,2a867159-c2e6-4d94-a654-3b94e5274102,1493640000,txt,embedded,Augusta,NY,40,NY,retail,clicked
12a6de62-dcf3-4d67-97e2-eaa882d7d84d,0eb07884-ae95-4c8b-bf0f-b0328209bef5,1493640000,swf,popup,Tallahassee,NJ,43,NJ,tech,hover
6691c088-f674-4c52-a7e2-ecfce9e0f73c,2a867159-c2e6-4d94-a654-3b94e5274102,1493640000,txt,popup,Raleigh,MO,59,MO,retail,impression
08efc05f-e648-4132-b48f-0b8b64a9faae,c6afb280-53ef-4c70-bdc6-6842177671f2,1493640000,txt,popup,Olympia,OH,30,OH,food,clicked
ee2822a9-d4e7-4340-b25c-c989604d0cff,30720a6a-8bae-40e7-829f-9cd85541eb0e,1493640000,swf,popup,Frankfort,WI,57,WI,food,impression
2627a278-8600-4170-98cc-7d9020bd1006,c2f1a1e9-d5b0-4a74-a85a-84611d929f03,1493640000,txt,banner,Saint Paul,UT,54,UT,food,impression
d50a6b4c-e412-49c8-be1d-7a20ddadae52,d89e7da3-fec1-450a-a050-6613204c143b,1493640000,txt,banner,Montgomery,AK,58,AK,food,impression
2b745e05-9336-493e-8c20-e3182caa42a4,49a3eb93-35d8-40e7-b5e1-db54d868959d,1493640000,txt,popup,Lansing,IA,40,IA,retail,impression
8d1ac6e3-725a-4acb-8261-ca830bd30596,b070fe31-1550-49b9-9d33-e33759e54dbc,1493640000,txt,banner,Richmond,KY,24,KY,retail,impression
